governor,state,year,party
Louis Lincoln Emmerson,Illinois,1931,Republican
Harry Guyer Leslie,Indiana,1931,Republican
Daniel Webster Turner,Iowa,1931,Republican
Harry Hines Woodring,Kansas,1931,Democrat
Ruby Laffoon,Kentucky,1931,Democratic
Huey Pierce Long,Louisiana,1931,Democrat
William Tudor Gardiner,Maine,1931,
Albert Cabell Ritchie,Maryland,1931,Democrat
Joseph Buell Ely,Massachusetts,1931,Democratic
Wilbur Marion Brucker,Michigan,1931,Republican
Floyd Bjornstjerne Olson,Minnesota,1931,Farmer-Labor
Theodore Gilmore Bilbo,Mississippi,1931,Democratic
Henry Stewart Caulfield,Missouri,1931,Republican
John Edward Erickson,Montana,1931,Democratic
Charles Wayland Bryan,Nebraska,1931,Democratic
Frederick Bennett Balzar,Nevada,1931,Republican
John Gilbert Winant,New Hampshire,1931,Republican
Morgan Foster Larson,New Jersey,1931,Republican
Arthur Seligman,New Mexico,1931,Democratic
Franklin Delano Roosevelt,New York,1931,Democratic
Oliver Max Gardner,North Carolina,1931,Baptist
George Frederick Shafer,North Dakota,1931,Republican (Independent Voters Association)
George White,Ohio,1931,Democrat
William Henry Murray,Oklahoma,1931,Democrat
Julius L. Meier,Oregon,1931,Independent
Gifford Pinchot,Pennsylvania,1931,Republican
Norman Stanley Case,Rhode Island,1931,Republican
Ibra Charles Blackwood,South Carolina,1931,Democrat
Warren Everett Green,South Dakota,1931,Republican
Henry Hollis Horton,Tennessee,1931,Democrat
Ross S. Sterling,Texas,1931,Democrat
George Henry Dern,Utah,1931,Democrat
Stanley Calef Wilson,Vermont,1931,Republican
John Garland Pollard,Virginia,1931,Democrat
Roland H. Hartley,Washington,1931,Republican
William Gustavus Conley,West Virginia,1931,Republican
Phillip F. La Follette,Wisconsin,1931,Republican 1st term; Progressive 2nd and 3rd terms
Alonzo M. Clark,Wyoming,1931,Republican
David Bibb Graves,Alabama,1930,Democrat
John C. Phillips,Arizona,1930,Republican
Harvey Parnell,Arkansas,1930,Democrat
Clement Calhoun Young,California,1930,Republican
William Herbert Adams,Colorado,1930,Democrat
John Harper Trumbull,Connecticut,1930,Republican
Clayton Douglass Buck,Delaware,1930,Republican
Doyle Elam Carlton,Florida,1930,Democrat
Lamartine Griffin Hardman,Georgia,1930,Democrat
H. Clarence Baldridge,Idaho,1930,Republican
Louis Lincoln Emmerson,Illinois,1930,Republican
Harry Guyer Leslie,Indiana,1930,Republican
John Hammill,Iowa,1930,Republican
Clyde Martin Reed,Kansas,1930,Republican
Flem Davis Sampson,Kentucky,1930,Republican
Huey Pierce Long,Louisiana,1930,Democrat
William Tudor Gardiner,Maine,1930,
Albert Cabell Ritchie,Maryland,1930,Democrat
Frank G. Allen,Massachusetts,1930,Republlican
Fred Warren Green,Michigan,1930,Republican
Theodore Christianson,Minnesota,1930,Republican
Theodore Gilmore Bilbo,Mississippi,1930,Democratic
Henry Stewart Caulfield,Missouri,1930,Republican
John Edward Erickson,Montana,1930,Democratic
Arthur J. Weaver,Nebraska,1930,Republican
Frederick Bennett Balzar,Nevada,1930,Republican
Charles William Tobey,New Hampshire,1930,Republican
Morgan Foster Larson,New Jersey,1930,Republican
Richard Charles Dillon,New Mexico,1930,Republican
Franklin Delano Roosevelt,New York,1930,Democratic
Oliver Max Gardner,North Carolina,1930,Baptist
George Frederick Shafer,North Dakota,1930,Republican (Independent Voters Association)
Myers Young Cooper,Ohio,1930,Republican
William Judson Holloway,Oklahoma,1930,Democrat
Albin Walter Norblad,Oregon,1930,Republican
John Stuchell Fisher,Pennsylvania,1930,Republican
Norman Stanley Case,Rhode Island,1930,Republican
John Gardiner Richards,South Carolina,1930,Democrat
William John Bulow,South Dakota,1930,Democrat
Henry Hollis Horton,Tennessee,1930,Democrat
Daniel J. Moody,Texas,1930,Democrat
George Henry Dern,Utah,1930,Democrat
John Eliakim Weeks,Vermont,1930,Republican
John Garland Pollard,Virginia,1930,Democrat
Roland H. Hartley,Washington,1930,Republican
William Gustavus Conley,West Virginia,1930,Republican
Walter J. Kohler,Wisconsin,1930,Republican
Frank Collins Emerson,Wyoming,1930,Republican
David Bibb Graves,Alabama,1929,Democrat
John C. Phillips,Arizona,1929,Republican
Harvey Parnell,Arkansas,1929,Democrat
Clement Calhoun Young,California,1929,Republican
William Herbert Adams,Colorado,1929,Democrat
John Harper Trumbull,Connecticut,1929,Republican
Clayton Douglass Buck,Delaware,1929,Republican
Doyle Elam Carlton,Florida,1929,Democrat
Lamartine Griffin Hardman,Georgia,1929,Democrat
H. Clarence Baldridge,Idaho,1929,Republican
Louis Lincoln Emmerson,Illinois,1929,Republican
Harry Guyer Leslie,Indiana,1929,Republican
John Hammill,Iowa,1929,Republican
Clyde Martin Reed,Kansas,1929,Republican
Flem Davis Sampson,Kentucky,1929,Republican
Huey Pierce Long,Louisiana,1929,Democrat
William Tudor Gardiner,Maine,1929,
Albert Cabell Ritchie,Maryland,1929,Democrat
Frank G. Allen,Massachusetts,1929,Republlican
Fred Warren Green,Michigan,1929,Republican
Theodore Christianson,Minnesota,1929,Republican
Theodore Gilmore Bilbo,Mississippi,1929,Democratic
Henry Stewart Caulfield,Missouri,1929,Republican
John Edward Erickson,Montana,1929,Democratic
Arthur J. Weaver,Nebraska,1929,Republican
Frederick Bennett Balzar,Nevada,1929,Republican
Charles William Tobey,New Hampshire,1929,Republican
Morgan Foster Larson,New Jersey,1929,Republican
Richard Charles Dillon,New Mexico,1929,Republican
Franklin Delano Roosevelt,New York,1929,Democratic
Oliver Max Gardner,North Carolina,1929,Baptist
George Frederick Shafer,North Dakota,1929,Republican (Independent Voters Association)
Myers Young Cooper,Ohio,1929,Republican
William Judson Holloway,Oklahoma,1929,Democrat
Albin Walter Norblad,Oregon,1929,Republican
John Stuchell Fisher,Pennsylvania,1929,Republican
Norman Stanley Case,Rhode Island,1929,Republican
John Gardiner Richards,South Carolina,1929,Democrat
William John Bulow,South Dakota,1929,Democrat
Henry Hollis Horton,Tennessee,1929,Democrat
Daniel J. Moody,Texas,1929,Democrat
George Henry Dern,Utah,1929,Democrat
John Eliakim Weeks,Vermont,1929,Republican
Harry Flood Byrd,Virginia,1929,Democrat
Roland H. Hartley,Washington,1929,Republican
William Gustavus Conley,West Virginia,1929,Republican
Walter J. Kohler,Wisconsin,1929,Republican
Frank Collins Emerson,Wyoming,1929,Republican
David Bibb Graves,Alabama,1928,Democrat
George Wylie Hunt,Arizona,1928,Democrat
Harvey Parnell,Arkansas,1928,Democrat
Clement Calhoun Young,California,1928,Republican
William Herbert Adams,Colorado,1928,Democrat
John Harper Trumbull,Connecticut,1928,Republican
Robert Pyle Robinson,Delaware,1928,Republican
John Wellborn Martin,Florida,1928,Democrat
Lamartine Griffin Hardman,Georgia,1928,Democrat
H. Clarence Baldridge,Idaho,1928,Republican
Lennington Small,Illinois,1928,Republican
Edward L. Jackson,Indiana,1928,Republican
John Hammill,Iowa,1928,Republican
Ben Sanford Paulen,Kansas,1928,Republican
Flem Davis Sampson,Kentucky,1928,Republican
Huey Pierce Long,Louisiana,1928,Democrat
Ralph Owen Brewster,Maine,1928,Republican
Albert Cabell Ritchie,Maryland,1928,Democrat
Alvan Tufts Fuller,Massachusetts,1928,Republican
Fred Warren Green,Michigan,1928,Republican
Theodore Christianson,Minnesota,1928,Republican
Theodore Gilmore Bilbo,Mississippi,1928,Democratic
Samuel Aaron Baker,Missouri,1928,Republican
John Edward Erickson,Montana,1928,Democratic
Adam McMullen,Nebraska,1928,Republican
Frederick Bennett Balzar,Nevada,1928,Republican
Huntley Nowell Spaulding,New Hampshire,1928,Republican
Arthur Harry Moore,New Jersey,1928,Democratic
Richard Charles Dillon,New Mexico,1928,Republican
Alfred Emanuel Smith,New York,1928,Democratic
Angus Wilton Mclean,North Carolina,1928,Democratic
Walter Maddock,North Dakota,1928,Republican (Nonpartisan League)
Alvin Victor Donahey,Ohio,1928,Democrat
Henry Simpson Johnston,Oklahoma,1928,Democrat
Isaac Lee Patterson,Oregon,1928,Republican
John Stuchell Fisher,Pennsylvania,1928,Republican
Norman Stanley Case,Rhode Island,1928,Republican
John Gardiner Richards,South Carolina,1928,Democrat
William John Bulow,South Dakota,1928,Democrat
Henry Hollis Horton,Tennessee,1928,Democrat
Daniel J. Moody,Texas,1928,Democrat
George Henry Dern,Utah,1928,Democrat
John Eliakim Weeks,Vermont,1928,Republican
Harry Flood Byrd,Virginia,1928,Democrat
Roland H. Hartley,Washington,1928,Republican
Howard M. Gore,West Virginia,1928,Republican
Fred R. Zimmerman,Wisconsin,1928,Republican
Frank Collins Emerson,Wyoming,1928,Republican
David Bibb Graves,Alabama,1927,Democrat
George Wylie Hunt,Arizona,1927,Democrat
John Ellis Martineau,Arkansas,1927,Democrat
Clement Calhoun Young,California,1927,Republican
William Herbert Adams,Colorado,1927,Democrat
John Harper Trumbull,Connecticut,1927,Republican
Robert Pyle Robinson,Delaware,1927,Republican
John Wellborn Martin,Florida,1927,Democrat
Lamartine Griffin Hardman,Georgia,1927,Democrat
H. Clarence Baldridge,Idaho,1927,Republican
Lennington Small,Illinois,1927,Republican
Edward L. Jackson,Indiana,1927,Republican
John Hammill,Iowa,1927,Republican
Ben Sanford Paulen,Kansas,1927,Republican
Flem Davis Sampson,Kentucky,1927,Republican
Oramel Hinckley Simpson,Louisiana,1927,Methodist
Ralph Owen Brewster,Maine,1927,Republican
Albert Cabell Ritchie,Maryland,1927,Democrat
Alvan Tufts Fuller,Massachusetts,1927,Republican
Fred Warren Green,Michigan,1927,Republican
Theodore Christianson,Minnesota,1927,Republican
Dennis Herron Murphree,Mississippi,1927,Democratic
Samuel Aaron Baker,Missouri,1927,Republican
John Edward Erickson,Montana,1927,Democratic
Adam McMullen,Nebraska,1927,Republican
Frederick Bennett Balzar,Nevada,1927,Republican
Huntley Nowell Spaulding,New Hampshire,1927,Republican
Arthur Harry Moore,New Jersey,1927,Democratic
Richard Charles Dillon,New Mexico,1927,Republican
Alfred Emanuel Smith,New York,1927,Democratic
Angus Wilton Mclean,North Carolina,1927,Democratic
Arthur Gustav Sorlie,North Dakota,1927,Republican (Nonpartisan League)
Alvin Victor Donahey,Ohio,1927,Democrat
Henry Simpson Johnston,Oklahoma,1927,Democrat
Isaac Lee Patterson,Oregon,1927,Republican
John Stuchell Fisher,Pennsylvania,1927,Republican
Aram Pothier,Rhode Island,1927,Republican
John Gardiner Richards,South Carolina,1927,Democrat
William John Bulow,South Dakota,1927,Democrat
Henry Hollis Horton,Tennessee,1927,Democrat
Daniel J. Moody,Texas,1927,Democrat
George Henry Dern,Utah,1927,Democrat
John Eliakim Weeks,Vermont,1927,Republican
Harry Flood Byrd,Virginia,1927,Democrat
Roland H. Hartley,Washington,1927,Republican
Howard M. Gore,West Virginia,1927,Republican
Fred R. Zimmerman,Wisconsin,1927,Republican
Frank Collins Emerson,Wyoming,1927,Republican
William Woodward Brandon,Alabama,1926,Democrat
George Wylie Hunt,Arizona,1926,Democrat
Thomas Jefferson Terral,Arkansas,1926,Democrat
Friend William Richardson,California,1926,Republican
Clarence Morley,Colorado,1926,Republican
John Harper Trumbull,Connecticut,1926,Republican
Robert Pyle Robinson,Delaware,1926,Republican
John Wellborn Martin,Florida,1926,Democrat
Clifford Mitchell Walker,Georgia,1926,Democrat
Charles Calvin Moore,Idaho,1926,Republican
Lennington Small,Illinois,1926,Republican
Edward L. Jackson,Indiana,1926,Republican
John Hammill,Iowa,1926,Republican
Ben Sanford Paulen,Kansas,1926,Republican
William Jason Fields,Kentucky,1926,Democratic
Oramel Hinckley Simpson,Louisiana,1926,Methodist
Ralph Owen Brewster,Maine,1926,Republican
Albert Cabell Ritchie,Maryland,1926,Democrat
Alvan Tufts Fuller,Massachusetts,1926,Republican
Alexander Joseph Groesbeck,Michigan,1926,Republican
Theodore Christianson,Minnesota,1926,Republican
Henry Lewis Whitfield,Mississippi,1926,Democratic
Samuel Aaron Baker,Missouri,1926,Republican
John Edward Erickson,Montana,1926,Democratic
Adam McMullen,Nebraska,1926,Republican
James Graves Scrugham,Nevada,1926,Democratic
John Gilbert Winant,New Hampshire,1926,Republican
Arthur Harry Moore,New Jersey,1926,Democratic
Arthur Thomas Hannett,New Mexico,1926,Democratic
Alfred Emanuel Smith,New York,1926,Democratic
Angus Wilton Mclean,North Carolina,1926,Democratic
Arthur Gustav Sorlie,North Dakota,1926,Republican (Nonpartisan League)
Alvin Victor Donahey,Ohio,1926,Democrat
Martin Edwin Trapp,Oklahoma,1926,Democrat
Walter Marcus Pierce,Oregon,1926,Democrat
Gifford Pinchot,Pennsylvania,1926,Republican
Aram Pothier,Rhode Island,1926,Republican
Thomas Gordon McLeod,South Carolina,1926,Democrat
Carl Gunderson,South Dakota,1926,Republican
Austin Peay III,Tennessee,1926,Democrat
Miriam Amanda Ferguson,Texas,1926,Democrat
George Henry Dern,Utah,1926,Democrat
Franklin Swift Billings,Vermont,1926,Republican
Harry Flood Byrd,Virginia,1926,Democrat
Roland H. Hartley,Washington,1926,Republican
Howard M. Gore,West Virginia,1926,Republican
John J. Blaine,Wisconsin,1926,Republican
Nellie Tayloe Ross,Wyoming,1926,Democrat
William Woodward Brandon,Alabama,1925,Democrat
George Wylie Hunt,Arizona,1925,Democrat
Thomas Jefferson Terral,Arkansas,1925,Democrat
Friend William Richardson,California,1925,Republican
Clarence Morley,Colorado,1925,Republican
John Harper Trumbull,Connecticut,1925,Republican
Robert Pyle Robinson,Delaware,1925,Republican
John Wellborn Martin,Florida,1925,Democrat
Clifford Mitchell Walker,Georgia,1925,Democrat
Charles Calvin Moore,Idaho,1925,Republican
Lennington Small,Illinois,1925,Republican
Edward L. Jackson,Indiana,1925,Republican
John Hammill,Iowa,1925,Republican
Ben Sanford Paulen,Kansas,1925,Republican
William Jason Fields,Kentucky,1925,Democratic
Henry L. Fuqua,Louisiana,1925,Democrat
Ralph Owen Brewster,Maine,1925,Republican
Albert Cabell Ritchie,Maryland,1925,Democrat
Alvan Tufts Fuller,Massachusetts,1925,Republican
Alexander Joseph Groesbeck,Michigan,1925,Republican
Theodore Christianson,Minnesota,1925,Republican
Henry Lewis Whitfield,Mississippi,1925,Democratic
Samuel Aaron Baker,Missouri,1925,Republican
John Edward Erickson,Montana,1925,Democratic
Adam McMullen,Nebraska,1925,Republican
James Graves Scrugham,Nevada,1925,Democratic
John Gilbert Winant,New Hampshire,1925,Republican
George Sebastian Silzer,New Jersey,1925,Democratic
Arthur Thomas Hannett,New Mexico,1925,Democratic
Alfred Emanuel Smith,New York,1925,Democratic
Angus Wilton Mclean,North Carolina,1925,Democratic
Arthur Gustav Sorlie,North Dakota,1925,Republican (Nonpartisan League)
Alvin Victor Donahey,Ohio,1925,Democrat
Martin Edwin Trapp,Oklahoma,1925,Democrat
Walter Marcus Pierce,Oregon,1925,Democrat
Gifford Pinchot,Pennsylvania,1925,Republican
Aram Pothier,Rhode Island,1925,Republican
Thomas Gordon McLeod,South Carolina,1925,Democrat
Carl Gunderson,South Dakota,1925,Republican
Austin Peay III,Tennessee,1925,Democrat
Miriam Amanda Ferguson,Texas,1925,Democrat
George Henry Dern,Utah,1925,Democrat
Franklin Swift Billings,Vermont,1925,Republican
Elbert Lee Trinkle,Virginia,1925,Democrat
Roland H. Hartley,Washington,1925,Republican
Howard M. Gore,West Virginia,1925,Republican
John J. Blaine,Wisconsin,1925,Republican
Nellie Tayloe Ross,Wyoming,1925,Democrat
William Woodward Brandon,Alabama,1924,Democrat
George Wylie Hunt,Arizona,1924,Democrat
Thomas Chipman McRae,Arkansas,1924,Democrat
Friend William Richardson,California,1924,Republican
William Ellery Sweet,Colorado,1924,Democrat
Charles Augustus Templeton,Connecticut,1924,Republican
William Du Hamel Denney,Delaware,1924,Republican
Cary Augustus Hardee,Florida,1924,Democrat
Clifford Mitchell Walker,Georgia,1924,Democrat
Charles Calvin Moore,Idaho,1924,Republican
Lennington Small,Illinois,1924,Republican
Emmett Forrest Branch,Indiana,1924,Republican
Nathan Edward Kendall,Iowa,1924,Republican
Jonathan McMillan Davis,Kansas,1924,Democrat
William Jason Fields,Kentucky,1924,Democratic
Henry L. Fuqua,Louisiana,1924,Democrat
Percival Proctor Baxter,Maine,1924,Republican
Albert Cabell Ritchie,Maryland,1924,Democrat
Channing Harris Cox,Massachusetts,1924,Republic
Alexander Joseph Groesbeck,Michigan,1924,Republican
Jacob Aall Ottesen Preus,Minnesota,1924,Republican
Henry Lewis Whitfield,Mississippi,1924,Democratic
Arthur Mastick Hyde,Missouri,1924,Republican
Joseph Moore Dixon,Montana,1924,Republican
Charles Wayland Bryan,Nebraska,1924,Democratic
James Graves Scrugham,Nevada,1924,Democratic
Fred Herbert Brown,New Hampshire,1924,Democratic
George Sebastian Silzer,New Jersey,1924,Democratic
James Fielding Hinkle,New Mexico,1924,Democratic
Alfred Emanuel Smith,New York,1924,Democratic
Cameron A. Morrison,North Carolina,1924,Democratic
Ragnvold Anderson Nestos,North Dakota,1924,Republican (Independent Voters Association)
Alvin Victor Donahey,Ohio,1924,Democrat
Martin Edwin Trapp,Oklahoma,1924,Democrat
Walter Marcus Pierce,Oregon,1924,Democrat
Gifford Pinchot,Pennsylvania,1924,Republican
William Smith Flynn,Rhode Island,1924,Democrat
Thomas Gordon McLeod,South Carolina,1924,Democrat
William Henry McMaster,South Dakota,1924,Republican
Austin Peay III,Tennessee,1924,Democrat
Pat Morris Neff,Texas,1924,Democrat
Charles Rendell Mabey,Utah,1924,Republican
Redfield Proctor,Vermont,1924,
Elbert Lee Trinkle,Virginia,1924,Democrat
Louis Folwell Hart,Washington,1924,Republican
Ephriam Franklin Morgan,West Virginia,1924,Republican
John J. Blaine,Wisconsin,1924,Republican
Franklin Earl Lucas,Wyoming,1924,Republican
William Woodward Brandon,Alabama,1923,Democrat
George Wylie Hunt,Arizona,1923,Democrat
Thomas Chipman McRae,Arkansas,1923,Democrat
Friend William Richardson,California,1923,Republican
William Ellery Sweet,Colorado,1923,Democrat
Charles Augustus Templeton,Connecticut,1923,Republican
William Du Hamel Denney,Delaware,1923,Republican
Cary Augustus Hardee,Florida,1923,Democrat
Clifford Mitchell Walker,Georgia,1923,Democrat
Charles Calvin Moore,Idaho,1923,Republican
Lennington Small,Illinois,1923,Republican
Warren T. McCray,Indiana,1923,Republican
Nathan Edward Kendall,Iowa,1923,Republican
Jonathan McMillan Davis,Kansas,1923,Democrat
William Jason Fields,Kentucky,1923,Democratic
John Milliken Parker,Louisiana,1923,Democrat; Progressive
Percival Proctor Baxter,Maine,1923,Republican
Albert Cabell Ritchie,Maryland,1923,Democrat
Channing Harris Cox,Massachusetts,1923,Republic
Alexander Joseph Groesbeck,Michigan,1923,Republican
Jacob Aall Ottesen Preus,Minnesota,1923,Republican
Lee Maurice Russell,Mississippi,1923,Democratic
Arthur Mastick Hyde,Missouri,1923,Republican
Joseph Moore Dixon,Montana,1923,Republican
Charles Wayland Bryan,Nebraska,1923,Democratic
James Graves Scrugham,Nevada,1923,Democratic
Fred Herbert Brown,New Hampshire,1923,Democratic
George Sebastian Silzer,New Jersey,1923,Democratic
James Fielding Hinkle,New Mexico,1923,Democratic
Alfred Emanuel Smith,New York,1923,Democratic
Cameron A. Morrison,North Carolina,1923,Democratic
Ragnvold Anderson Nestos,North Dakota,1923,Republican (Independent Voters Association)
Alvin Victor Donahey,Ohio,1923,Democrat
Martin Edwin Trapp,Oklahoma,1923,Democrat
Walter Marcus Pierce,Oregon,1923,Democrat
Gifford Pinchot,Pennsylvania,1923,Republican
William Smith Flynn,Rhode Island,1923,Democrat
Thomas Gordon McLeod,South Carolina,1923,Democrat
William Henry McMaster,South Dakota,1923,Republican
Austin Peay III,Tennessee,1923,Democrat
Pat Morris Neff,Texas,1923,Democrat
Charles Rendell Mabey,Utah,1923,Republican
Redfield Proctor,Vermont,1923,
Elbert Lee Trinkle,Virginia,1923,Democrat
Louis Folwell Hart,Washington,1923,Republican
Ephriam Franklin Morgan,West Virginia,1923,Republican
John J. Blaine,Wisconsin,1923,Republican
William Bradford Ross,Wyoming,1923,Democrat
Thomas Erby Kilby,Alabama,1922,Democrat
Thomas Chipman McRae,Arkansas,1922,Democrat
William Dennison Stephens,California,1922,Republican
Oliver Henry Nelson Shoup,Colorado,1922,Republican
Everett John Lake,Connecticut,1922,Republican
William Du Hamel Denney,Delaware,1922,Republican
Cary Augustus Hardee,Florida,1922,Democrat
Thomas William Hardwick,Georgia,1922,Democrat
David William Davis,Idaho,1922,Republican
Lennington Small,Illinois,1922,Republican
Warren T. McCray,Indiana,1922,Republican
Nathan Edward Kendall,Iowa,1922,Republican
Henry Justin Allen,Kansas,1922,Republican
Edwin Porch Morrow,Kentucky,1922,Republican
John Milliken Parker,Louisiana,1922,Democrat; Progressive
Percival Proctor Baxter,Maine,1922,Republican
Albert Cabell Ritchie,Maryland,1922,Democrat
Channing Harris Cox,Massachusetts,1922,Republic
Alexander Joseph Groesbeck,Michigan,1922,Republican
Jacob Aall Ottesen Preus,Minnesota,1922,Republican
Lee Maurice Russell,Mississippi,1922,Democratic
Arthur Mastick Hyde,Missouri,1922,Republican
Joseph Moore Dixon,Montana,1922,Republican
Samuel Roy McKelvie,Nebraska,1922,Republican
Emmet Derby Boyle,Nevada,1922,Democratic
Albert Oscar Brown,New Hampshire,1922,Republican
Edward Irving Edwards,New Jersey,1922,Democratic
Merritt Cramer Mechem,New Mexico,1922,Republican
Nathan Lewis Miller,New York,1922,Republican
Cameron A. Morrison,North Carolina,1922,Democratic
Ragnvold Anderson Nestos,North Dakota,1922,Republican (Independent Voters Association)
Harry L. Davis,Ohio,1922,Republican
James Brooks Ayers Robertson,Oklahoma,1922,Democrat
Ben Olcott,Oregon,1922,Republican
William Cameron Sproul,Pennsylvania,1922,Republican
Emery J. San Souci,Rhode Island,1922,Republican
Wilson Godfrey Harvey,South Carolina,1922,Democrat
William Henry McMaster,South Dakota,1922,Republican
Alfred Alexander Taylor,Tennessee,1922,Republican
Pat Morris Neff,Texas,1922,Democrat
Charles Rendell Mabey,Utah,1922,Republican
James Hartness,Vermont,1922,Republican
Elbert Lee Trinkle,Virginia,1922,Democrat
Louis Folwell Hart,Washington,1922,Republican
Ephriam Franklin Morgan,West Virginia,1922,Republican
John J. Blaine,Wisconsin,1922,Republican
Robert Davis Carey,Wyoming,1922,Republican
Thomas Erby Kilby,Alabama,1921,Democrat
Thomas Chipman McRae,Arkansas,1921,Democrat
William Dennison Stephens,California,1921,Republican
Oliver Henry Nelson Shoup,Colorado,1921,Republican
Everett John Lake,Connecticut,1921,Republican
William Du Hamel Denney,Delaware,1921,Republican
Cary Augustus Hardee,Florida,1921,Democrat
Thomas William Hardwick,Georgia,1921,Democrat
David William Davis,Idaho,1921,Republican
Lennington Small,Illinois,1921,Republican
Warren T. McCray,Indiana,1921,Republican
Nathan Edward Kendall,Iowa,1921,Republican
Henry Justin Allen,Kansas,1921,Republican
Edwin Porch Morrow,Kentucky,1921,Republican
John Milliken Parker,Louisiana,1921,Democrat; Progressive
Percival Proctor Baxter,Maine,1921,Republican
Albert Cabell Ritchie,Maryland,1921,Democrat
Channing Harris Cox,Massachusetts,1921,Republic
Alexander Joseph Groesbeck,Michigan,1921,Republican
Jacob Aall Ottesen Preus,Minnesota,1921,Republican
Lee Maurice Russell,Mississippi,1921,Democratic
Arthur Mastick Hyde,Missouri,1921,Republican
Joseph Moore Dixon,Montana,1921,Republican
Samuel Roy McKelvie,Nebraska,1921,Republican
Emmet Derby Boyle,Nevada,1921,Democratic
Albert Oscar Brown,New Hampshire,1921,Republican
Edward Irving Edwards,New Jersey,1921,Democratic
Merritt Cramer Mechem,New Mexico,1921,Republican
Nathan Lewis Miller,New York,1921,Republican
Cameron A. Morrison,North Carolina,1921,Democratic
Ragnvold Anderson Nestos,North Dakota,1921,Republican (Independent Voters Association)
Harry L. Davis,Ohio,1921,Republican
James Brooks Ayers Robertson,Oklahoma,1921,Democrat
Ben Olcott,Oregon,1921,Republican
William Cameron Sproul,Pennsylvania,1921,Republican
Emery J. San Souci,Rhode Island,1921,Republican
Robert Archer Cooper,South Carolina,1921,Democrat
William Henry McMaster,South Dakota,1921,Republican
Alfred Alexander Taylor,Tennessee,1921,Republican
Pat Morris Neff,Texas,1921,Democrat
Charles Rendell Mabey,Utah,1921,Republican
James Hartness,Vermont,1921,Republican
Westmoreland Davis,Virginia,1921,Democrat
Louis Folwell Hart,Washington,1921,Republican
Ephriam Franklin Morgan,West Virginia,1921,Republican
John J. Blaine,Wisconsin,1921,Republican
Robert Davis Carey,Wyoming,1921,Republican
Thomas Erby Kilby,Alabama,1920,Democrat
Charles Hillman Brough,Arkansas,1920,Democrat
William Dennison Stephens,California,1920,Republican
Oliver Henry Nelson Shoup,Colorado,1920,Republican
Marcus Hensey Holcomb,Connecticut,1920,Republican
John Gillis Townsend,Delaware,1920,Republican
Sidney Johnston Catts,Florida,1920,"Democrat, Prohibition"
Hugh Manson Dorsey,Georgia,1920,Democrat
David William Davis,Idaho,1920,Republican
Frank Orren Lowden,Illinois,1920,Republican
James Putnam Goodrich,Indiana,1920,Republican
William Lloyd Harding,Iowa,1920,Republican
Henry Justin Allen,Kansas,1920,Republican
Edwin Porch Morrow,Kentucky,1920,Republican
John Milliken Parker,Louisiana,1920,Democrat; Progressive
Carl Elias Milliken,Maine,1920,Republican
Albert Cabell Ritchie,Maryland,1920,Democrat
John Calvin Coolidge,Massachusetts,1920,Republican
Albert Edson Sleeper,Michigan,1920,Republican
Joseph Alfred Arner Burnquist,Minnesota,1920,Republican
Lee Maurice Russell,Mississippi,1920,Democratic
Frederick Dozier Gardner,Missouri,1920,Democratic
Samuel Vernon Stewart,Montana,1920,Democratic
Samuel Roy McKelvie,Nebraska,1920,Republican
Emmet Derby Boyle,Nevada,1920,Democratic
John Henry Bartlett,New Hampshire,1920,Republican
Edward Irving Edwards,New Jersey,1920,Democratic
Octaviano Ambrosio Larrazolo,New Mexico,1920,Republican
Alfred Emanuel Smith,New York,1920,Democratic
Thomas Walter Bickett,North Carolina,1920,Democratic
Lynn Joseph Frazier,North Dakota,1920,Republican (Nonpartisan League)
James Middleton Cox,Ohio,1920,Democratic
James Brooks Ayers Robertson,Oklahoma,1920,Democrat
Ben Olcott,Oregon,1920,Republican
William Cameron Sproul,Pennsylvania,1920,Republican
Robert Livingston Beeckman,Rhode Island,1920,Republican
Robert Archer Cooper,South Carolina,1920,Democrat
Peter Norbeck,South Dakota,1920,Republican
Albert Houston Roberts,Tennessee,1920,Democrat
William Pettus Hobby,Texas,1920,Democrat
Simon Bamberger,Utah,1920,Democrat
Percival W. Clement,Vermont,1920,Republican
Westmoreland Davis,Virginia,1920,Democrat
Louis Folwell Hart,Washington,1920,Republican
John Jacob Cornwell,West Virginia,1920,Democrat
Emanuel L. Philipp,Wisconsin,1920,Republican
Robert Davis Carey,Wyoming,1920,Republican
Thomas Erby Kilby,Alabama,1919,Democrat
George Wylie Hunt,Arizona,1919,Democrat
Charles Hillman Brough,Arkansas,1919,Democrat
William Dennison Stephens,California,1919,Republican
Oliver Henry Nelson Shoup,Colorado,1919,Republican
Marcus Hensey Holcomb,Connecticut,1919,Republican
John Gillis Townsend,Delaware,1919,Republican
Sidney Johnston Catts,Florida,1919,"Democrat, Prohibition"
Hugh Manson Dorsey,Georgia,1919,Democrat
David William Davis,Idaho,1919,Republican
Frank Orren Lowden,Illinois,1919,Republican
James Putnam Goodrich,Indiana,1919,Republican
William Lloyd Harding,Iowa,1919,Republican
Henry Justin Allen,Kansas,1919,Republican
Edwin Porch Morrow,Kentucky,1919,Republican
Ruffin G. Pleasant,Louisiana,1919,Democrat
Carl Elias Milliken,Maine,1919,Republican
Emerson Columbus Harrington,Maryland,1919,Democrat
